OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus
otu18937	Bacteria	Myxococcota	Polyangia	mle1-27	NA	NA
otu18938	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	NA	NA
otu18939	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	NA
otu18940	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	NA
otu18941	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	NA	NA
otu18942	Bacteria	Chloroflexi	Ktedonobacteria	C0119	NA	NA
otu18943	Bacteria	Myxococcota	Myxococcia	Myxococcales	27F-1492R	NA
otu18944	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS 17	NA
otu18945	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Herpetosiphonaceae	Herpetosiphon
otu18946	Bacteria	Elusimicrobiota	Lineage IIa	NA	NA	NA
otu18947	Bacteria	Proteobacteria	Alphaproteobacteria	Tistrellales	Geminicoccaceae	NA
otu18948	Bacteria	Chloroflexi	TK10	NA	NA	NA
otu18949	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Tahibacter
otu18950	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea
otu18951	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	NA
otu18952	Bacteria	Cyanobacteria	Sericytochromatia	NA	NA	NA
otu18953	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA
otu18954	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	NA
otu18955	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA
otu18956	Bacteria	Firmicutes	Clostridia	Clostridiales	Oxobacteraceae	Oxobacter
otu18957	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium
otu18958	Bacteria	Proteobacteria	Alphaproteobacteria	Tistrellales	Geminicoccaceae	Candidatus Alysiosphaera
otu18959	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
otu18960	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
otu18961	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	NA
otu18962	Bacteria	Firmicutes	Bacilli	Thermoactinomycetales	Thermoactinomycetaceae	Seinonella
otu18963	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
otu18964	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA
otu18965	Bacteria	Chloroflexi	Anaerolineae	RBG-13-54-9	NA	NA
otu18966	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	Ohtaekwangia
otu18967	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
otu18968	Bacteria	Chloroflexi	TK10	NA	NA	NA
otu18969	Bacteria	Armatimonadota	NA	NA	NA	NA
otu18970	Bacteria	Zixibacteria	NA	NA	NA	NA
otu18971	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
otu18972	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	NA
otu18973	Bacteria	Acidobacteriota	Blastocatellia	nov/24	NA	NA
otu18974	Bacteria	Armatimonadota	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas
otu18975	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia
otu18976	Bacteria	Bacteroidota	Ignavibacteria	SJA-28	NA	NA
otu18977	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	NA
otu18978	Bacteria	Latescibacterota	NA	NA	NA	NA
otu18979	Bacteria	Chloroflexi	Anaerolineae	SBR1031	NA	NA
otu18980	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	NA	NA
otu18981	Bacteria	Chloroflexi	JG30-KF-CM66	NA	NA	NA
otu18982	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA
otu18983	Bacteria	Cyanobacteria	Sericytochromatia	NA	NA	NA
otu18984	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Ktedonobacter
otu18985	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae	NA
otu18986	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	NA
otu18987	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA
otu18988	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	JG30-KF-AS9	NA
otu18989	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae	Polycyclovorans
otu18990	Bacteria	Myxococcota	bacteriap25	NA	NA	NA
otu18991	Bacteria	Chloroflexi	JG30-KF-CM66	NA	NA	NA
otu18992	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter
otu18993	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Frankiaceae	Jatrophihabitans
otu18994	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	NA	NA
otu18995	Bacteria	Planctomycetota	OM190	NA	NA	NA
otu18996	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	NA	NA
otu18997	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	LWQ8	NA
otu18998	Bacteria	Chloroflexi	TK10	NA	NA	NA
otu18999	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	NA
otu19000	Bacteria	WPS-2	NA	NA	NA	NA
otu19001	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	NA
otu19002	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Luteitalea
otu19003	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	NA
otu19004	Bacteria	Actinobacteriota	MB-A2-108	NA	NA	NA
otu19005	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	NA
otu19006	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NA	NA
otu19007	Bacteria	Proteobacteria	Alphaproteobacteria	Tistrellales	Geminicoccaceae	NA
otu19008	Bacteria	Desulfobacterota	Desulfuromonadia	PB19	NA	NA
otu19009	Bacteria	Firmicutes	NA	NA	NA	NA
otu19010	Bacteria	Chloroflexi	NA	NA	NA	NA
otu19011	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
otu19012	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Filibacter
otu19013	Bacteria	Gemmatimonadota	S0134 terrestrial group	NA	NA	NA
otu19014	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	NA	NA
otu19015	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA
otu19016	Bacteria	Chloroflexi	JG30-KF-CM66	NA	NA	NA
otu19017	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA
otu19018	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
otu19019	Bacteria	NA	NA	NA	NA	NA
otu19020	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	NA
otu19021	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA
