OTU_ID	E1	E2	E28	E3	E30	E7	E8	E9
otu221	36	57	14	0	140	78	102	76
otu222	26	0	0	28	0	260	186	227
otu223	0	0	0	0	127	0	86	100
otu224	64	0	27	29	78	212	159	231
otu225	86	41	0	84	0	40	36	44
otu226	89	60	128	110	0	0	0	0
otu227	0	29	0	0	68	77	121	115
otu228	0	57	42	0	227	83	202	45
otu229	38	48	37	49	136	104	142	119
otu230	80	89	76	45	0	20	14	39
otu231	65	42	57	79	0	43	35	34
otu232	64	85	71	70	83	79	50	55
otu233	22	34	38	56	116	158	94	101
otu234	63	82	64	117	0	93	56	89
otu235	56	32	78	121	0	0	0	47
otu236	82	71	0	69	0	0	46	0
otu237	84	72	66	57	74	59	47	0
otu238	102	121	106	55	73	0	25	37
otu239	81	45	74	114	38	81	0	0
otu240	114	101	136	85	0	0	0	0
otu241	94	68	110	74	0	28	0	25
otu242	126	87	90	68	0	48	0	21
otu243	88	55	60	53	0	0	0	0
otu244	108	78	76	93	0	0	0	0
otu245	93	101	100	163	40	55	55	0
otu246	49	76	63	74	130	0	0	0
otu247	90	59	113	72	60	43	24	49
otu248	61	95	73	78	0	42	35	21
otu249	58	0	83	70	81	121	112	99
otu250	0	0	0	0	91	241	123	229
otu251	118	86	105	108	0	0	68	0
otu252	84	45	65	55	30	22	19	25
otu253	89	63	80	66	22	30	27	28
otu254	80	47	91	110	0	0	0	0
otu255	0	105	127	116	119	0	71	60
otu256	86	103	0	76	85	67	53	59
otu257	0	0	49	35	137	63	54	67
otu258	86	117	106	70	54	0	48	0
otu259	55	42	57	157	0	0	0	36
otu260	0	74	51	0	39	35	0	0
otu261	52	0	0	0	112	69	77	94
otu262	89	69	93	66	0	26	22	0
otu263	93	74	65	93	0	0	53	0
otu264	20	0	0	55	0	255	175	201
otu265	76	75	55	40	62	50	52	47
otu266	0	51	0	0	155	68	97	84
otu267	71	107	58	79	0	0	75	38
otu268	72	60	77	51	0	47	59	0
otu269	23	73	91	0	235	85	83	56
otu270	78	49	87	90	34	21	0	0
otu271	78	57	71	67	0	50	0	39
otu272	102	0	79	0	0	0	0	76
otu273	129	52	83	0	68	54	0	92
otu274	66	55	41	100	78	0	48	42
otu275	85	53	89	58	89	26	25	0
otu276	94	83	104	103	0	0	0	59
otu277	67	91	95	87	0	0	0	0
otu278	21	24	0	59	10	301	119	223
otu279	51	0	0	0	147	115	118	110
otu280	0	124	0	137	131	92	68	105
otu281	53	52	64	61	51	45	52	0
otu282	83	95	122	77	0	0	0	0
otu283	68	0	80	71	0	0	0	0
otu284	53	1110	0	84	95	0	0	0
otu285	53	973	0	115	146	0	0	0
otu286	39	0	0	38	105	80	68	101
otu287	0	31	18	0	0	161	168	184
otu288	57	46	76	72	60	0	0	33
otu289	163	135	0	0	77	78	0	72
otu290	58	53	107	60	0	28	55	0
otu291	72	45	49	69	55	44	29	0
otu292	62	0	0	0	0	88	106	98
otu293	58	120	65	0	0	55	71	0
otu294	86	78	116	58	13	26	24	0
otu295	56	63	92	50	69	0	26	0
otu296	0	40	70	32	128	58	95	92
otu297	33	0	42	0	55	197	84	145
otu298	0	0	0	0	136	67	49	72
otu299	0	0	0	0	51	67	180	131
otu300	93	76	77	77	0	0	0	0
otu301	72	55	60	82	48	0	0	40
otu302	46	0	0	60	0	35	64	32
otu303	31	0	0	51	69	180	88	181
otu304	0	0	0	0	171	49	50	69
otu305	95	70	115	69	0	34	24	0
otu306	0	112	93	22	121	59	56	0
otu307	70	49	76	70	0	0	31	0
otu308	61	60	91	76	0	0	0	0
otu309	0	61	38	54	70	29	94	51
otu310	96	61	99	0	32	44	51	23
otu311	63	67	74	72	43	0	50	28
otu312	110	0	132	36	40	127	57	186
otu313	75	42	54	52	0	35	34	55
otu314	95	0	91	74	0	82	0	0
otu315	59	0	0	61	70	0	0	46
otu316	0	46	48	0	87	70	148	92
otu317	35	0	75	57	0	0	0	0
otu318	69	93	107	80	28	0	0	0
otu319	64	64	65	103	0	0	0	0
otu320	30	51	42	30	58	49	34	44
otu321	62	0	41	109	0	77	48	48
otu322	34	29	0	45	156	56	82	46
otu323	47	62	68	108	37	0	0	33
otu324	56	0	61	91	41	0	0	0
otu325	73	46	79	51	59	23	0	0
otu326	67	77	69	55	25	26	30	27
otu327	70	47	0	53	0	0	31	22
otu328	83	0	56	74	0	195	80	136
otu329	25	54	41	0	93	57	63	59
otu330	0	0	44	50	47	64	48	78
otu331	48	0	17	49	0	29	44	43
otu332	77	64	81	69	69	0	0	32
otu333	41	81	47	51	0	44	0	44
otu334	63	63	87	67	64	0	0	0
otu335	61	68	56	39	42	27	0	0
otu336	3	0	0	0	0	34	32	0
otu337	0	0	0	54	80	83	91	109
otu338	100	66	82	49	0	0	0	29
otu339	70	22	54	135	0	0	0	0
otu340	66	101	40	32	122	55	61	50
otu341	0	54	0	61	71	25	0	42
otu342	0	102	41	74	28	0	21	0
otu343	38	0	0	54	55	92	76	104
otu344	65	69	74	64	0	37	36	0
otu345	0	0	0	37	94	55	55	90
otu346	68	78	67	33	101	44	71	52
otu347	78	824	0	116	83	0	0	0
otu348	64	77	77	67	0	0	0	23
otu349	76	71	75	86	37	28	0	19
otu350	53	64	75	74	100	0	0	0
otu351	113	104	0	61	0	0	0	32
otu352	80	78	65	68	42	28	23	0
otu353	81	81	109	61	0	0	0	0
otu354	83	63	106	68	0	0	0	0
otu355	96	79	0	42	30	30	37	29
